"id","label","comment","subPropertyOf","equivalentProperty","subproperties","domainIncludes","rangeIncludes","inverseOf","supersedes","supersededBy","isPartOf"
"https://schema.org/about","about","The subject matter of the content.","","","https://schema.org/mainEntity","https://schema.org/CommunicateAction, https://schema.org/CreativeWork, https://schema.org/Event","https://schema.org/Thing","https://schema.org/subjectOf","","",""
"https://schema.org/abridged","abridged","Indicates whether the book is an abridged edition.","","","","https://schema.org/Book","https://schema.org/Boolean","","","","https://bib.schema.org"
"https://schema.org/abstract","abstract","An abstract is a short description that summarizes a <a class=""localLink"" href=""/CreativeWork"">CreativeWork</a>.","","","","https://schema.org/CreativeWork","https://schema.org/Text","","","","https://pending.schema.org"
"https://schema.org/accelerationTime","accelerationTime","The time needed to accelerate the vehicle from a given start velocity to a given target velocity.<br/><br/>

Typical unit code(s): SEC for seconds<br/><br/>

<ul>
<li>Note: There are unfortunately no standard unit codes for seconds/0..100 km/h or seconds/0..60 mph. Simply use ""SEC"" for seconds and indicate the velocities in the <a class=""localLink"" href=""/name"">name</a> of the <a class=""localLink"" href=""/QuantitativeValue"">QuantitativeValue</a>, or use <a class=""localLink"" href=""/valueReference"">valueReference</a> with a <a class=""localLink"" href=""/QuantitativeValue"">QuantitativeValue</a> of 0..60 mph or 0..100 km/h to specify the reference speeds.</li>
</ul>","","","","https://schema.org/Vehicle","https://schema.org/QuantitativeValue","","","","https://auto.schema.org"
"https://schema.org/acceptedAnswer","acceptedAnswer","The answer(s) that has been accepted as best, typically on a Question/Answer site. Sites vary in their selection mechanisms, e.g. drawing on community opinion and/or the view of the Question author.","https://schema.org/suggestedAnswer","","","https://schema.org/Question","https://schema.org/Answer, https://schema.org/ItemList","","","",""
"https://schema.org/acceptedOffer","acceptedOffer","The offer(s) -- e.g., product, quantity and price combinations -- included in the order.","","","","https://schema.org/Order","https://schema.org/Offer","","","",""
"https://schema.org/acceptedPaymentMethod","acceptedPaymentMethod","The payment method(s) accepted by seller for this offer.","","","","https://schema.org/Demand, https://schema.org/Offer","https://schema.org/LoanOrCredit, https://schema.org/PaymentMethod","","","",""
"https://schema.org/acceptsReservations","acceptsReservations","Indicates whether a FoodEstablishment accepts reservations. Values can be Boolean, an URL at which reservations can be made or (for backwards compatibility) the strings <code>Yes</code> or <code>No</code>.","","","","https://schema.org/FoodEstablishment","https://schema.org/Boolean, https://schema.org/Text, https://schema.org/URL","","","",""
"https://schema.org/accessCode","accessCode","Password, PIN, or access code needed for delivery (e.g. from a locker).","","","","https://schema.org/DeliveryEvent","https://schema.org/Text","","","",""
"https://schema.org/accessMode","accessMode","The human sensory perceptual system or cognitive faculty through which a person may process or perceive information. Values should be drawn from the <a href=""https://www.w3.org/2021/a11y-discov-vocab/latest/#accessMode-vocabulary"">approved vocabulary</a>.","","","","https://schema.org/CreativeWork","https://schema.org/Text","","","",""
"https://schema.org/accessModeSufficient","accessModeSufficient","A list of single or combined accessModes that are sufficient to understand all the intellectual content of a resource. Values should be drawn from the <a href=""https://www.w3.org/2021/a11y-discov-vocab/latest/#accessModeSufficient-vocabulary"">approved vocabulary</a>.","","","","https://schema.org/CreativeWork","https://schema.org/ItemList","","","",""
"https://schema.org/accessibilityAPI","accessibilityAPI","Indicates that the resource is compatible with the referenced accessibility API. Values should be drawn from the <a href=""https://www.w3.org/2021/a11y-discov-vocab/latest/#accessibilityAPI-vocabulary"">approved vocabulary</a>.","","","","https://schema.org/CreativeWork","https://schema.org/Text","","","",""
"https://schema.org/accessibilityControl","accessibilityControl","Identifies input methods that are sufficient to fully control the described resource. Values should be drawn from the <a href=""https://www.w3.org/2021/a11y-discov-vocab/latest/#accessibilityControl-vocabulary"">approved vocabulary</a>.","","","","https://schema.org/CreativeWork","https://schema.org/Text","","","",""
"https://schema.org/accessibilityFeature","accessibilityFeature","Content features of the resource, such as accessible media, alternatives and supported enhancements for accessibility. Values should be drawn from the <a href=""https://www.w3.org/2021/a11y-discov-vocab/latest/#accessibilityFeature-vocabulary"">approved vocabulary</a>.","","","","https://schema.org/CreativeWork","https://schema.org/Text","","","",""
"https://schema.org/accessibilityHazard","accessibilityHazard","A characteristic of the described resource that is physiologically dangerous to some users. Related to WCAG 2.0 guideline 2.3. Values should be drawn from the <a href=""https://www.w3.org/2021/a11y-discov-vocab/latest/#accessibilityHazard-vocabulary"">approved vocabulary</a>.","","","","https://schema.org/CreativeWork","https://schema.org/Text","","","",""
"https://schema.org/accessibilitySummary","accessibilitySummary","A human-readable summary of specific accessibility features or deficiencies, consistent with the other accessibility metadata but expressing subtleties such as ""short descriptions are present but long descriptions will be needed for non-visual users"" or ""short descriptions are present and no long descriptions are needed"".","","","","https://schema.org/CreativeWork","https://schema.org/Text","","","",""
"https://schema.org/accommodationCategory","accommodationCategory","Category of an <a class=""localLink"" href=""/Accommodation"">Accommodation</a>, following real estate conventions, e.g. RESO (see <a href=""https://ddwiki.reso.org/display/DDW17/PropertySubType+Field"">PropertySubType</a>, and <a href=""https://ddwiki.reso.org/display/DDW17/PropertyType+Field"">PropertyType</a> fields  for suggested values).","https://schema.org/category","","","https://schema.org/Accommodation","https://schema.org/Text","","","","https://pending.schema.org"
"https://schema.org/accommodationFloorPlan","accommodationFloorPlan","A floorplan of some <a class=""localLink"" href=""/Accommodation"">Accommodation</a>.","","","","https://schema.org/Accommodation, https://schema.org/Residence","https://schema.org/FloorPlan","","","","https://pending.schema.org"
"https://schema.org/accountId","accountId","The identifier for the account the payment will be applied to.","https://schema.org/identifier","","","https://schema.org/Invoice","https://schema.org/Text","","","",""
"https://schema.org/accountMinimumInflow","accountMinimumInflow","A minimum amount that has to be paid in every month.","","","","https://schema.org/BankAccount","https://schema.org/MonetaryAmount","","","","https://pending.schema.org"
"https://schema.org/accountOverdraftLimit","accountOverdraftLimit","An overdraft is an extension of credit from a lending institution when an account reaches zero. An overdraft allows the individual to continue withdrawing money even if the account has no funds in it. Basically the bank allows people to borrow a set amount of money.","","","","https://schema.org/BankAccount","https://schema.org/MonetaryAmount","","","","https://pending.schema.org"
"https://schema.org/accountablePerson","accountablePerson","Specifies the Person that is legally accountable for the CreativeWork.","","","","https://schema.org/CreativeWork","https://schema.org/Person","","","",""
"https://schema.org/acquireLicensePage","acquireLicensePage","Indicates a page documenting how licenses can be purchased or otherwise acquired, for the current item.","https://schema.org/usageInfo","","","https://schema.org/CreativeWork","https://schema.org/CreativeWork, https://schema.org/URL","","","","https://pending.schema.org"
"https://schema.org/acquiredFrom","acquiredFrom","The organization or person from which the product was acquired.","","","","https://schema.org/OwnershipInfo","https://schema.org/Organization, https://schema.org/Person","","","",""
"https://schema.org/acrissCode","acrissCode","The ACRISS Car Classification Code is a code used by many car rental companies, for classifying vehicles. ACRISS stands for Association of Car Rental Industry Systems and Standards.","","","","https://schema.org/BusOrCoach, https://schema.org/Car","https://schema.org/Text","","","","https://auto.schema.org"
"https://schema.org/actionAccessibilityRequirement","actionAccessibilityRequirement","A set of requirements that must be fulfilled in order to perform an Action. If more than one value is specified, fulfilling one set of requirements will allow the Action to be performed.","","","","https://schema.org/ConsumeAction","https://schema.org/ActionAccessSpecification","","","",""
