"id","label","comment","subPropertyOf","equivalentProperty","subproperties","domainIncludes","rangeIncludes","inversOf","supersedes","supersededBy","isPartOf"
"http://schema.org/action","action","Obsolete term for <a class=""localLink"" href=""http://schema.org/muscleAction"">muscleAction</a>. Not to be confused with <a class=""localLink"" href=""http://schema.org/potentialAction"">potentialAction</a>.","","","","http://schema.org/Muscle","http://schema.org/Text","","",""
"http://schema.org/activeIngredient","activeIngredient","An active ingredient, typically chemical compounds and/or biologic substances.","","","","http://schema.org/DietarySupplement, http://schema.org/Drug, http://schema.org/DrugStrength, http://schema.org/Substance","http://schema.org/Text","","",""
"http://schema.org/activityDuration","activityDuration","Length of time to engage in the activity.","","","","http://schema.org/ExercisePlan","http://schema.org/Duration, http://schema.org/QualitativeValue","","",""
"http://schema.org/activityFrequency","activityFrequency","How often one should engage in the activity.","","","","http://schema.org/ExercisePlan","http://schema.org/QualitativeValue, http://schema.org/Text","","",""
"http://schema.org/additionalVariable","additionalVariable","Any additional component of the exercise prescription that may need to be articulated to the patient. This may include the order of exercises, the number of repetitions of movement, quantitative distance, progressions over time, etc.","","","","http://schema.org/ExercisePlan","http://schema.org/Text","","",""
"http://schema.org/administrationRoute","administrationRoute","A route by which this drug may be administered, e.g. 'oral'.","","","","http://schema.org/Drug","http://schema.org/Text","","",""
"http://schema.org/adverseOutcome","adverseOutcome","A possible complication and/or side effect of this therapy. If it is known that an adverse outcome is serious (resulting in death, disability, or permanent damage; requiring hospitalization; or is otherwise life-threatening or requires immediate medical attention), tag it as a seriouseAdverseOutcome instead.","","","","http://schema.org/MedicalDevice, http://schema.org/TherapeuticProcedure","http://schema.org/MedicalEntity","","",""
"http://schema.org/affectedBy","affectedBy","Drugs that affect the test's results.","","","","http://schema.org/MedicalTest","http://schema.org/Drug","","",""
"http://schema.org/alcoholWarning","alcoholWarning","Any precaution, guidance, contraindication, etc. related to consumption of alcohol while taking this drug.","","","","http://schema.org/Drug","http://schema.org/Text","","",""
"http://schema.org/algorithm","algorithm","The algorithm or rules to follow to compute the score.","","","","http://schema.org/MedicalRiskScore","http://schema.org/Text","","",""
"http://schema.org/antagonist","antagonist","The muscle whose action counteracts the specified muscle.","","","","http://schema.org/Muscle","http://schema.org/Muscle","","",""
"http://schema.org/applicableLocation","applicableLocation","The location in which the status applies.","","","","http://schema.org/DrugCost, http://schema.org/DrugLegalStatus","http://schema.org/AdministrativeArea","","",""
"http://schema.org/arterialBranch","arterialBranch","The branches that comprise the arterial structure.","","","","http://schema.org/Artery","http://schema.org/AnatomicalStructure","","http://schema.org/branch",""
"http://schema.org/aspect","aspect","An aspect of medical practice that is considered on the page, such as 'diagnosis', 'treatment', 'causes', 'prognosis', 'etiology', 'epidemiology', etc.","","","","http://schema.org/MedicalWebPage","http://schema.org/Text","","","http://schema.org/mainContentOfPage"
"http://schema.org/associatedAnatomy","associatedAnatomy","The anatomy of the underlying organ system or structures associated with this entity.","","","","http://schema.org/MedicalCondition, http://schema.org/PhysicalActivity","http://schema.org/AnatomicalStructure, http://schema.org/AnatomicalSystem, http://schema.org/SuperficialAnatomy","","",""
"http://schema.org/associatedPathophysiology","associatedPathophysiology","If applicable, a description of the pathophysiology associated with the anatomical system, including potential abnormal changes in the mechanical, physical, and biochemical functions of the system.","","","","http://schema.org/AnatomicalStructure, http://schema.org/AnatomicalSystem, http://schema.org/SuperficialAnatomy","http://schema.org/Text","","",""
"http://schema.org/availableIn","availableIn","The location in which the strength is available.","","","","http://schema.org/DrugStrength","http://schema.org/AdministrativeArea","","",""
"http://schema.org/availableService","availableService","A medical service available from this provider.","","","","http://schema.org/Hospital, http://schema.org/MedicalClinic, http://schema.org/Physician","http://schema.org/MedicalProcedure, http://schema.org/MedicalTest, http://schema.org/MedicalTherapy","","",""
"http://schema.org/availableStrength","availableStrength","An available dosage strength for the drug.","","","","http://schema.org/Drug","http://schema.org/DrugStrength","","",""
"http://schema.org/availableTest","availableTest","A diagnostic test or procedure offered by this lab.","","","","http://schema.org/DiagnosticLab","http://schema.org/MedicalTest","","",""
"http://schema.org/background","background","Descriptive information establishing a historical perspective on the supplement. May include the rationale for the name, the population where the supplement first came to prominence, etc.","","","","http://schema.org/DietarySupplement","http://schema.org/Text","","",""
"http://schema.org/biomechnicalClass","biomechnicalClass","The biomechanical properties of the bone.","","","","http://schema.org/Joint","http://schema.org/Text","","",""
"http://schema.org/bloodSupply","bloodSupply","The blood vessel that carries blood from the heart to the muscle.","","","","http://schema.org/Muscle","http://schema.org/Vessel","","",""
