Class,Name,Domain Bucket
Itemtype,http://schema.org/3DModel,< 1K
Itemtype,http://schema.org/AMRadioChannel,< 1K
Itemtype,http://schema.org/APIReference,< 1K
Itemtype,http://schema.org/AboutPage,100K - 1M
Itemtype,http://schema.org/AcceptAction,< 1K
Itemtype,http://schema.org/Accommodation,10K - 100K
Itemtype,http://schema.org/AccountingService,10K - 100K
Itemtype,http://schema.org/AchieveAction,< 1K
Itemtype,http://schema.org/Action,10K - 100K
Itemtype,http://schema.org/ActionAccessSpecification,< 1K
Itemtype,http://schema.org/ActionStatusType,< 1K
Itemtype,http://schema.org/ActivateAction,< 1K
Itemtype,http://schema.org/AddAction,< 1K
Itemtype,http://schema.org/AdministrativeArea,100K - 1M
Itemtype,http://schema.org/AdultEntertainment,1K - 10K
Itemtype,http://schema.org/AdultOrientedEnumeration,< 1K
Itemtype,http://schema.org/AdvertiserContentArticle,1K - 10K
Itemtype,http://schema.org/AggregateOffer,1M - 10M
Itemtype,http://schema.org/AggregateRating,1M - 10M
Itemtype,http://schema.org/AgreeAction,< 1K
Itemtype,http://schema.org/Airline,1K - 10K
Itemtype,http://schema.org/Airport,1K - 10K
Itemtype,http://schema.org/AlignmentObject,1K - 10K
Itemtype,http://schema.org/AllocateAction,< 1K
Itemtype,http://schema.org/AmpStory,< 1K
Itemtype,http://schema.org/AmusementPark,1K - 10K
Itemtype,http://schema.org/AnalysisNewsArticle,1K - 10K
Itemtype,http://schema.org/AnatomicalStructure,1K - 10K
Itemtype,http://schema.org/AnatomicalSystem,< 1K
Itemtype,http://schema.org/AnimalShelter,1K - 10K
Itemtype,http://schema.org/Answer,1M - 10M
Itemtype,http://schema.org/Apartment,10K - 100K
Itemtype,http://schema.org/ApartmentComplex,10K - 100K
Itemtype,http://schema.org/AppendAction,< 1K
Itemtype,http://schema.org/ApplyAction,1K - 10K
Itemtype,http://schema.org/ApprovedIndication,< 1K
Itemtype,http://schema.org/Aquarium,< 1K
Itemtype,http://schema.org/ArchiveComponent,< 1K
Itemtype,http://schema.org/ArchiveOrganization,1K - 10K
Itemtype,http://schema.org/ArriveAction,< 1K
Itemtype,http://schema.org/ArtGallery,1K - 10K
Itemtype,http://schema.org/Artery,< 1K
Itemtype,http://schema.org/Article,10M+
Itemtype,http://schema.org/AskAction,1K - 10K
Itemtype,http://schema.org/AskPublicNewsArticle,< 1K
Itemtype,http://schema.org/AssessAction,< 1K
Itemtype,http://schema.org/AssignAction,< 1K
Itemtype,http://schema.org/Atlas,< 1K
Itemtype,http://schema.org/Attorney,10K - 100K
Itemtype,http://schema.org/Audience,100K - 1M
Itemtype,http://schema.org/AudioObject,10K - 100K
Itemtype,http://schema.org/AudioObjectSnapshot,< 1K
Itemtype,http://schema.org/Audiobook,< 1K
Itemtype,http://schema.org/AuthenticateAction,< 1K
Itemtype,http://schema.org/AuthorizeAction,< 1K
Itemtype,http://schema.org/AutoBodyShop,1K - 10K
Itemtype,http://schema.org/AutoDealer,10K - 100K
Itemtype,http://schema.org/AutoPartsStore,10K - 100K
Itemtype,http://schema.org/AutoRental,10K - 100K
Itemtype,http://schema.org/AutoRepair,10K - 100K
Itemtype,http://schema.org/AutoWash,1K - 10K
Itemtype,http://schema.org/AutomatedTeller,< 1K
Itemtype,http://schema.org/AutomotiveBusiness,10K - 100K
Itemtype,http://schema.org/BackgroundNewsArticle,< 1K
Itemtype,http://schema.org/Bakery,1K - 10K
Itemtype,http://schema.org/BankAccount,< 1K
Itemtype,http://schema.org/BankOrCreditUnion,1K - 10K
Itemtype,http://schema.org/BarOrPub,10K - 100K
Itemtype,http://schema.org/Barcode,< 1K
Itemtype,http://schema.org/Beach,1K - 10K
Itemtype,http://schema.org/BeautySalon,10K - 100K
Itemtype,http://schema.org/BedAndBreakfast,1K - 10K
Itemtype,http://schema.org/BedDetails,10K - 100K
Itemtype,http://schema.org/BedType,< 1K
Itemtype,http://schema.org/BefriendAction,< 1K
Itemtype,http://schema.org/BikeStore,1K - 10K
Itemtype,http://schema.org/BioChemEntity,< 1K
Itemtype,http://schema.org/Blog,1M - 10M
Itemtype,http://schema.org/BlogPosting,1M - 10M
Itemtype,http://schema.org/BloodTest,< 1K
Itemtype,http://schema.org/BoardingPolicyType,< 1K
Itemtype,http://schema.org/BoatReservation,< 1K
Itemtype,http://schema.org/BoatTerminal,< 1K
Itemtype,http://schema.org/BoatTrip,< 1K
Itemtype,http://schema.org/BodyMeasurementTypeEnumeration,< 1K
Itemtype,http://schema.org/BodyOfWater,< 1K
Itemtype,http://schema.org/Bone,< 1K
Itemtype,http://schema.org/Book,10K - 100K
Itemtype,http://schema.org/BookFormatType,< 1K
Itemtype,http://schema.org/BookSeries,1K - 10K
Itemtype,http://schema.org/BookStore,1K - 10K
Itemtype,http://schema.org/BookmarkAction,< 1K
Itemtype,http://schema.org/Boolean,< 1K
Itemtype,http://schema.org/BorrowAction,< 1K
Itemtype,http://schema.org/BowlingAlley,< 1K
Itemtype,http://schema.org/BrainStructure,< 1K
Itemtype,http://schema.org/Brand,1M - 10M
Itemtype,http://schema.org/BreadcrumbList,10M+
Itemtype,http://schema.org/Brewery,1K - 10K
Itemtype,http://schema.org/Bridge,< 1K
Itemtype,http://schema.org/BroadcastChannel,< 1K
Itemtype,http://schema.org/BroadcastEvent,10K - 100K
Itemtype,http://schema.org/BroadcastFrequencySpecification,< 1K
Itemtype,http://schema.org/BroadcastService,1K - 10K
Itemtype,http://schema.org/BrokerageAccount,< 1K
Itemtype,http://schema.org/BuddhistTemple,< 1K
Itemtype,http://schema.org/BusOrCoach,< 1K
Itemtype,http://schema.org/BusReservation,< 1K
Itemtype,http://schema.org/BusStation,< 1K
Itemtype,http://schema.org/BusStop,< 1K
Itemtype,http://schema.org/BusTrip,1K - 10K
Itemtype,http://schema.org/BusinessAudience,10K - 100K
Itemtype,http://schema.org/BusinessEntityType,< 1K
Itemtype,http://schema.org/BusinessEvent,1K - 10K
Itemtype,http://schema.org/BusinessFunction,< 1K
Itemtype,http://schema.org/BuyAction,1M - 10M
Itemtype,http://schema.org/CDCPMDRecord,< 1K
Itemtype,http://schema.org/CableOrSatelliteService,< 1K
Itemtype,http://schema.org/CafeOrCoffeeShop,1K - 10K
Itemtype,http://schema.org/Campground,1K - 10K
Itemtype,http://schema.org/CampingPitch,< 1K
Itemtype,http://schema.org/Canal,< 1K
Itemtype,http://schema.org/CancelAction,< 1K
Itemtype,http://schema.org/Car,10K - 100K
Itemtype,http://schema.org/CarUsageType,< 1K
Itemtype,http://schema.org/Casino,100K - 1M
Itemtype,http://schema.org/CategoryCode,1K - 10K
Itemtype,http://schema.org/CategoryCodeSet,< 1K
Itemtype,http://schema.org/CatholicChurch,< 1K
Itemtype,http://schema.org/Cemetery,< 1K
Itemtype,http://schema.org/Certification,10K - 100K
Itemtype,http://schema.org/CertificationStatusEnumeration,< 1K
Itemtype,http://schema.org/Chapter,1K - 10K
Itemtype,http://schema.org/CheckAction,< 1K
Itemtype,http://schema.org/CheckInAction,< 1K
Itemtype,http://schema.org/CheckOutAction,< 1K
Itemtype,http://schema.org/CheckoutPage,1K - 10K
Itemtype,http://schema.org/ChemicalSubstance,1K - 10K
Itemtype,http://schema.org/ChildCare,1K - 10K
Itemtype,http://schema.org/ChildrensEvent,< 1K
Itemtype,http://schema.org/ChooseAction,1K - 10K
Itemtype,http://schema.org/Church,1K - 10K
Itemtype,http://schema.org/City,100K - 1M
Itemtype,http://schema.org/CityHall,< 1K
Itemtype,http://schema.org/CivicStructure,1K - 10K
Itemtype,http://schema.org/Claim,1K - 10K
Itemtype,http://schema.org/ClaimReview,1K - 10K
Itemtype,http://schema.org/Class,< 1K
Itemtype,http://schema.org/Clip,10K - 100K
Itemtype,http://schema.org/ClothingStore,10K - 100K
Itemtype,http://schema.org/Code,< 1K
Itemtype,http://schema.org/Collection,10K - 100K
Itemtype,http://schema.org/CollectionPage,1M - 10M
